manual_review
sofifa_id,statsbomb_id,statsbomb_name,statsbomb_name_norm,short_name,long_name,player_positions,club_name,shooting,attacking_heading_accuracy,preferred_foot,weak_foot
203458,8291.0,{'Arlind Afrim Ajeti'},arlind afrim ajeti,A. Ajeti,Arlind Afrim Ajeti,CB,Frosinone,37,68,Right,3
158138,8308.0,{'Aaron Hunt'},aaron hunt,A. Hunt,Aaron Hunt,CAM,Hamburger SV,77,64,Left,3
169808,8463.0,{'Urby Emanuelson'},urby emanuelson,U. Emanuelson,Urby Vitorrio Diego Emanuelson,"LB, LM",Hellas Verona FC,67,56,Left,2
212150,8508.0,{'Max Meyer'},max meyer,M. Meyer,Maximilian Meyer,"CAM, LM, CM",Schalke 04,62,37,Right,4
200641,8523.0,{'Yevhen Konoplyanka'},yevhen konoplyanka,Y. Konoplyanka,Yevhen Konoplyanka,LM,Sevilla FC,76,49,Right,4
193057,8558.0,{'Charlison Benschop'},charlison benschop,C. Benschop,Charlison Girigorio Benschop,"ST, CAM, CF",Hannover 96,72,66,Right,3
162369,8571.0,{'Vedad Ibišević'},vedad ibisevic,V. Ibišević,Vedad Ibišević,ST, Hertha BSC,76,79,Right,4
123576,8871.0,{'Marco Borriello'},marco borriello,M. Borriello,Marco Borriello,ST,Atalanta BC,72,80,Left,2
232118,8981.0,{'Antoine Rabillard'},antoine rabillard,A. Rabillard,Antoine Rabillard,ST,Olympique de Marseille,63,61,Right,4
212782,9070.0,{'Hiram Boateng'},hiram boateng,H. Boateng,Hiram Kojo Kwarteng Boateng,"CDM, CM",Crystal Palace,49,60,Left,3
207645,9536.0,{'Modou Barrow'},modou barrow,M. Barrow,Modou Secka Barrow,"RW, ST, RM",Swansea City,61,43,Left,2
228814,9630.0,{'Andre Green'},andre green,A. Green,Andre Jay Green,LM,Aston Villa,57,50,Right,3
213697,9648.0,{'Paddy McNair'},paddy mcnair,P. McNair,Patrick James Coleman McNair,"CB, RB",Manchester United,41,68,Right,3
201380,10330.0,{'Gadji Celi Carmen Junior Tallo'},gadji celi carmen junior tallo,J. Tallo,Gadji Celi Carmel Junior Tallo,ST,Lille OSC,68,66,Right,3
