shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle,shooting
0,0,0.06298616,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,106.6,49.3,0.23184371502159887,0.12891946545139207,0.35398230088495575
0,0,0.08406523,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,107.6,54.3,0.2705339713436266,0.08980028619925076,0.3097345132743362
0,0,0.014339935,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,114.6,24.1,0.2389552637128363,0.05125367978710294,0.6194690265486726
0,0,0.10026226,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,105.8,44.6,0.21136993729616652,0.15989447437402382,0.38938053097345127
0,0,0.041049615,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,98.8,50.3,0.3391793768940628,0.0969467733845336,0.5486725663716814
0,0,0.020903872,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.7,24.8,0.42709316263459,0.07397907345485048,0.5663716814159292
0,1,0.059302077,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,108.2,30.2,0.21746752037959857,0.12939927266460743,0.5486725663716814
0,0,0.008411573,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,107.2,60.5,0.3480261680729816,0.056766784234923165,0.6194690265486726
0,0,0.02781227,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,101.1,56.7,0.36359820132924947,0.07612851235558395,0.6194690265486726
0,0,0.13341597,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.7,53.2,0.24759356335904986,0.09747188019274475,0.6194690265486726
0,0,0.034853064,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.9,25.3,0.3470489229929572,0.084087544640853,0.5663716814159292
1,0,0.044301234,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,111.4,46.8,0.15276924325595032,0.18575296898912963,0.8053097345132743
0,1,0.10357236,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,111.7,26.5,0.22498770857590136,0.08760489849549721,0.8938053097345133
0,0,0.012818143,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,91.8,25.4,0.46022264502078475,0.07115144729935591,0.6902654867256637
0,0,0.1318786,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,103.2,37.1,0.24274817290420847,0.14486010237568214,0.7876106194690264
0,1,0.21412638,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,111.8,37.5,0.11741365075026165,0.27094213503086817,0.5132743362831858
0,0,0.034098778,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,106.3,35.9,0.20211107161783629,0.1676394716781446,0.7876106194690264
0,0,0.071731,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,112.6,53.3,0.21571098250555537,0.08528122746356141,0.5132743362831858
0,0,0.49588525,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,111.4,36.2,0.1296796542312429,0.2418862082675355,0.6194690265486726
0,0,0.07706488,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.1,39.9,0.15183590884878595,0.22389302831291366,0.8938053097345133
0,0,0.006918464,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,93.7,18.7,0.49110069840935144,0.05862805384246302,0.6902654867256637
0,0,0.09111866,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.8,36.1,0.2514453054997749,0.13890300090213667,0.6194690265486726
0,0,0.024466073,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,99.7,22.5,0.3869745748443584,0.07233065901355876,0.38053097345132736
1,0,0.046848908,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.0,37.3,0.15813616333692682,0.2115848346647923,0.8938053097345133
0,0,0.041459296,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.6,36.2,0.3704248412158635,0.09734533243392429,0.5663716814159292
0,1,0.04421788,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,101.1,52.0,0.32170133508319976,0.09615531064937384,0.8053097345132743
0,1,0.30123034,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,109.7,29.4,0.2092045994071816,0.12303897284030937,0.6194690265486726
0,1,0.11095885,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,104.0,47.3,0.2507064292393048,0.13098782914738888,0.8938053097345133
1,0,0.05624884,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.5,37.7,0.14959555697599047,0.22311340235390242,0.8938053097345133
0,1,0.35093418,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,106.8,35.3,0.1978439206733102,0.16862746917253293,0.8053097345132743
0,0,0.018215073,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,89.1,49.3,0.4678213264343153,0.07530733431632869,0.5663716814159292
0,1,0.058628954,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,107.6,28.2,0.24376527839474754,0.10946444944533147,0.4336283185840708
0,1,0.040083643,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,99.8,52.8,0.34427106432447824,0.09005382222640364,0.5132743362831858
0,1,0.20338157,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,104.5,46.9,0.24153527699305793,0.1362141158191909,0.8938053097345133
0,0,0.012535366,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,100.1,21.1,0.3964826257056728,0.0676983257771378,0.654867256637168
