Estimator,Comparison,Metric,Median Δ,95% CI Lower,95% CI Upper
XGBoost,A → B,ROC_AUC,0.038085438129939975,0.029787707825004638,0.046040655552034356
XGBoost,A → B,Brier Score,-0.0047613786178008904,-0.005976461715416235,-0.0035104286144815133
XGBoost,A → C,Log Loss,-0.0033258039373107173,-0.005129019512078001,-0.001603589420534187
XGBoost,A → C,ROC_AUC,0.012527859961848242,0.007659675399915763,0.017557850787951895
XGBoost,A → C,Brier Score,-0.0008715537853766914,-0.0013764433172331174,-0.00035987764449630944
XGBoost,B → D,Log Loss,-0.000775612334321274,-0.0019161726224744893,0.00032527599443937224
XGBoost,B → D,ROC_AUC,0.0019156976047073337,-0.0006763245801615553,0.004683734601906131
XGBoost,B → D,Brier Score,-0.0002190023789997858,-0.0005543686991863587,0.00011863692389829708
XGBoost,C → D,Log Loss,-0.013129343325882725,-0.016488443118085658,-0.00977504884761406
XGBoost,C → D,ROC_AUC,0.027346709459804996,0.01993545683176052,0.03483661605474826
XGBoost,C → D,Brier Score,-0.004098753025608248,-0.005249715303689312,-0.0029670309038087733
XGBoost,A → D,Log Loss,-0.016466704176887503,-0.02016616000132614,-0.01268609931873417
XGBoost,A → D,ROC_AUC,0.03990112349821695,0.03168116652593604,0.04811024851201086
XGBoost,A → D,Brier Score,-0.004983033223386411,-0.006202427045200081,-0.003703765260618425
CatBoost,A → B,Log Loss,-0.015264950490359225,-0.019160996435841043,-0.011422100048089311
CatBoost,A → B,ROC_AUC,0.03638706085841947,0.02772565564275593,0.04420692010183012
CatBoost,A → B,Brier Score,-0.004809161683909831,-0.006073190426243328,-0.0034637245467178147
CatBoost,A → C,Log Loss,-0.003254499117455678,-0.004873541257307793,-0.001666906657447214
CatBoost,A → C,ROC_AUC,0.012423491134005982,0.007641701117107105,0.017348443079626304
CatBoost,A → C,Brier Score,-0.0008105557938770658,-0.0012868850421553818,-0.00031542350753798165
CatBoost,B → D,Log Loss,-0.0013553987188465455,-0.002725048534674626,9.661880128022197e-05
CatBoost,B → D,ROC_AUC,0.0023542039523847813,-0.0005766190750537498,0.005397851408403103
CatBoost,B → D,Brier Score,-0.0004340217177159003,-0.0008696249676384468,2.4489903371837393e-05
CatBoost,C → D,Log Loss,-0.013305360096482866,-0.01693378182011798,-0.009777356874104724
CatBoost,C → D,ROC_AUC,0.0261272135366713,0.01861896996376385,0.03358451772015844
CatBoost,C → D,Brier Score,-0.004396271096556922,-0.0055881971162927155,-0.0032198459689915465
CatBoost,A → D,Log Loss,-0.016623764683542597,-0.020391695377181947,-0.012695671309694031
CatBoost,A → D,ROC_AUC,0.03859205123390924,0.02986690120587738,0.046557969792231015
CatBoost,A → D,Brier Score,-0.0052205542377080985,-0.006478189979464229,-0.003913309081849109
TABPFN,A → B,Log Loss,-0.016652960768622244,-0.020455383801998635,-0.012724592130138414
TABPFN,A → B,ROC_AUC,0.03759511529134735,0.028890851675146455,0.0459587202327165
TABPFN,A → B,Brier Score,-0.00532838412401232,-0.0065363401925400836,-0.004069199949728866
TABPFN,A → C,Log Loss,-0.0030783786643289457,-0.004502225140492944,-0.0016431049380040675
TABPFN,A → C,ROC_AUC,0.01040574288732915,0.006150695841771428,0.01453674676510422
TABPFN,A → C,Brier Score,-0.0007887345651097083,-0.001200394148853242,-0.00036038159273998806
TABPFN,B → D,Log Loss,-0.0012792826285817072,-0.0021471029517043673,-0.0004209400902590652
TABPFN,B → D,ROC_AUC,0.0031211830468154123,0.001199792896987345,0.005067611369256232
TABPFN,B → D,Brier Score,-0.00024211726543570122,-0.00047161005065812675,-1.4401344990548602e-05
TABPFN,C → D,Log Loss,-0.014834929782094691,-0.018277971856038005,-0.011283062652513772
TABPFN,C → D,ROC_AUC,0.030214813368270144,0.022435223314244367,0.03802628493416336
TABPFN,C → D,Brier Score,-0.004774117187461485,-0.005919453638176499,-0.003593299165006302
TABPFN,A → D,Log Loss,-0.017920086038143018,-0.021644540130283916,-0.013946001520386591
TABPFN,A → D,ROC_AUC,0.04066126909637191,0.03187530622939086,0.049126169751559666
TABPFN,A → D,Brier Score,-0.005566479799292624,-0.006828912465429295,-0.004289430967035748
