player_id,statsbomb_name,statsbomb_name_norm,fifa_player_name,fifa_name_norm,match_score
5685.0,Carlos Alberto Sánchez Moreno,carlos alberto sanchez moreno,Juan Carlos Paredes,juan carlos paredes,85.5
3076.0,Ayoze Pérez Gutiérrez,ayoze perez gutierrez,Ayoze Pérez,ayoze perez,90.0
3442.0,El-Hadji Baye Oumar Niasse,el hadji baye oumar niasse,Oumar Niasse,oumar niasse,90.0
4884.0,Pape N''Diaye Souaré,pape n''diaye souare,Pape Souaré,pape souare,85.5
5458.0,Odion Jude Ighalo,odion jude ighalo,Odion Ighalo,odion ighalo,95.0
23488.0,Mario Suárez Mata,mario suarez mata,Mario Suárez,mario suarez,95.0
23488.0,Mario Suárez Mata,mario suarez mata,Juan Mata,juan mata,85.5
3326.0,Chung-Yong Lee,chung yong lee,Lee Chung Yong,lee chung yong,95.0
3326.0,Chung-Yong Lee,chung yong lee,Lee Lucas,lee lucas,85.5
6746.0,Gabriel Armando de Abreu,gabriel armando de abreu,Gabriel,gabriel,90.0
6746.0,Gabriel Armando de Abreu,gabriel armando de abreu,Ritchie De Laet,ritchie de laet,85.5
6746.0,Gabriel Armando de Abreu,gabriel armando de abreu,Kevin De Bruyne,kevin de bruyne,85.5
6746.0,Gabriel Armando de Abreu,gabriel armando de abreu,De Gea,de gea,85.5
6746.0,Gabriel Armando de Abreu,gabriel armando de abreu,Gabriel Obertan,gabriel obertan,85.5
3385.0,Alexis Alejandro Sánchez Sánchez,alexis alejandro sanchez sanchez,Alexis Sánchez,alexis sanchez,85.5
3385.0,Alexis Alejandro Sánchez Sánchez,alexis alejandro sanchez sanchez,Carlos Sánchez,carlos sanchez,85.5
3385.0,Alexis Alejandro Sánchez Sánchez,alexis alejandro sanchez sanchez,Alex Palmer,alex palmer,68.57142857142857
3511.0,Héctor Bellerín Moruno,hector bellerin moruno,Héctor Bellerín,hector bellerin,95.0
3511.0,Héctor Bellerín Moruno,hector bellerin moruno,Michael Hector,michael hector,85.5
3568.0,Mohamed Naser Elsayed Elneny,mohamed naser elsayed elneny,Moha,moha,90.0
3568.0,Mohamed Naser Elsayed Elneny,mohamed naser elsayed elneny,Mohamed Elneny,mohamed elneny,85.5
11386.0,Santiago Cazorla González,santiago cazorla gonzalez,Santi Cazorla,santi cazorla,85.5
42703.0,Mikel Arteta Amatriain,mikel arteta amatriain,John Obi Mikel,john obi mikel,85.5
42703.0,Mikel Arteta Amatriain,mikel arteta amatriain,Adama,adama,72.0
42703.0,Mikel Arteta Amatriain,mikel arteta amatriain,Mikael Mandron,mikael mandron,65.45454545454547
42703.0,Mikel Arteta Amatriain,mikel arteta amatriain,Adrián,adrian,65.45454545454547
13200.0,Oluwaseyi Babajide Ojo,oluwaseyi babajide ojo,Sheyi Ojo,sheyi ojo,85.5
3380.0,Christian Benteke Liolo,christian benteke liolo,Christian Benteke,christian benteke,95.0
3380.0,Christian Benteke Liolo,christian benteke liolo,Christian Fuchs,christian fuchs,85.5
3380.0,Christian Benteke Liolo,christian benteke liolo,Cristian Manea,cristian manea,69.23076923076923
3380.0,Christian Benteke Liolo,christian benteke liolo,Cristian Gamboa,cristian gamboa,69.23076923076923
3380.0,Christian Benteke Liolo,christian benteke liolo,Christian Eriksen,christian eriksen,65.76923076923076
3043.0,Christian Dannemann Eriksen,christian dannemann eriksen,Christian Fuchs,christian fuchs,85.5
3043.0,Christian Dannemann Eriksen,christian dannemann eriksen,Christian Benteke,christian benteke,85.5
3043.0,Christian Dannemann Eriksen,christian dannemann eriksen,Christian Eriksen,christian eriksen,85.5
3043.0,Christian Dannemann Eriksen,christian dannemann eriksen,Christian Maghoma,christian maghoma,85.5
3043.0,Christian Dannemann Eriksen,christian dannemann eriksen,Cristian Manea,cristian manea,73.33333333333334
3094.0,Bamidele Alli,bamidele alli,Dele Alli,dele alli,81.81818181818181
3237.0,Sergio Leonel Agüero del Castillo,sergio leonel aguero del castillo,Sergio Agüero,sergio aguero,85.5
3237.0,Sergio Leonel Agüero del Castillo,sergio leonel aguero del castillo,Sergio Romero,sergio romero,85.5
3090.0,Nicolás Hernán Otamendi,nicolas hernan otamendi,Nicolás Otamendi,nicolas otamendi,95.0
3090.0,Nicolás Hernán Otamendi,nicolas hernan otamendi,Fernando,fernando,67.5
3090.0,Nicolás Hernán Otamendi,nicolas hernan otamendi,Almen Abdi,almen abdi,67.5
3087.0,Gnégnéri Yaya Touré,gnegneri yaya toure,Yaya Touré,yaya toure,90.0
3087.0,Gnégnéri Yaya Touré,gnegneri yaya toure,Yaya Sanogo,yaya sanogo,85.5
3087.0,Gnégnéri Yaya Touré,gnegneri yaya toure,Kolo Touré,kolo toure,85.5
3054.0,Fernando Luiz Rosa,fernando luiz rosa,Fernando,fernando,90.0
3054.0,Fernando Luiz Rosa,fernando luiz rosa,Fernandinho,fernandinho,75.78947368421052
3054.0,Fernando Luiz Rosa,fernando luiz rosa,Oscar,oscar,67.5
