location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[109.4, 25.1]",Fabio Borini,7171.0,Left Wing,0,0,0.061152127,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,109.4,25.1,18.285786830213237,14.914838117320768
"[114.8, 38.2]",Jermain Defoe,3337.0,Center Forward,0,1,0.5702413,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,114.8,38.2,5.502726596879044,71.05423089970547
"[101.1, 46.0]",André Ayew Pelé,3347.0,Center Forward,0,1,0.15865645,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,101.1,46.0,19.829523443592894,21.842775437550937
"[109.5, 41.1]",Adam Johnson,42902.0,Right Wing,0,1,0.30508184,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,109.5,41.1,10.557461816175326,41.34615353483365
"[112.0, 34.8]",André Ayew Pelé,3347.0,Center Forward,0,0,0.057744507,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.0,34.8,9.541488353501252,40.46014748848164
"[108.1, 40.1]",Gylfi Þór Sigurðsson,3944.0,Center Attacking Midfield,0,0,0.7835,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,108.1,40.1,11.900420160649796,37.15634507564839
"[112.9, 43.3]",André Ayew Pelé,3347.0,Center Forward,1,0,0.07977741,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.9,43.3,7.829431652425347,51.426406310374574
"[95.1, 49.3]",Modou Barrow,9536.0,Right Wing,0,0,0.029557714,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,95.1,49.3,26.58006772000403,16.09214216264228
"[110.9, 25.9]",André Ayew Pelé,3347.0,Center Forward,0,0,0.04778152,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,110.9,25.9,16.781537474260215,15.327007058912516
"[102.4, 25.8]",Patrick van Aanholt,3321.0,Left Back,0,0,0.060125522,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.4,25.8,22.614154859291112,15.865933090221336
