0
Juan Manuel Iturbe Arévalo
Timm Klose
Osazemwinde Peter Odemwingie
Bryan Oviedo
Demarai Gray
Abdul Rahman Baba
Alexandre Rodrigues da Silva
Kevin Wimmer
Marcus Rashford
Timothy Evans Fosu-Mensah
Gaël Clichy
Emmanuel Emenike
Valon Behrami
Tom Davies
Jonjoe Kenny
Daniel Amartey
Steven Pienaar
Joe Ledley
Steven Taylor
Reece Oxford
Darren Randolph
Jordan Lyden
Tommy Elphick
Connor Steven Randall
Stephen Kingsley
Andre Green
Tammy Bakumo-Abraham
Bradley Shaun Smith
N'Golo Kanté
Rolando Aarons
Cameron Borthwick-Jackson
Cheik Ismaël Tioté
Alex Pritchard
Tokelo Anthony Rantie
Hiram Boateng
Łukasz Fabiański
Matt Grimes
Mathieu Debuchy
