Player,Preferred Foot,Preferred Foot Rating,Weak Foot Rating
Pablo Javier Zabaleta Girod,Right,5,3
Ben Davies,Left,5,3
Fraizer Campbell,Right,5,3
Martin Kelly,Right,5,3
Sebastian Prödl,Right,5,2
Steven Berghuis,Left,5,3
Martín Gastón Demichelis,Right,5,3
Jordan Amavi,Left,5,3
Gareth McAuley,Right,5,3
Daley Blind,Left,5,4
Luke Shaw,Left,5,2
Javier Hernández Balcázar,Right,5,3
Gastón Exequiel Ramírez Pereyra,Left,5,3
Pedro Mba Obiang Avomo,Right,5,3
Phil Jagielka,Right,5,3
Yann Kermorgant,Right,5,3
Miguel Arturo Layún Prado,Right,5,5
Miguel Ángel Britos Cabrera,Left,5,3
Nabil Bentaleb,Left,5,3
Andre Wisdom,Right,5,3
Kieran Trippier,Right,5,4
Àngel Rangel Zaragoza,Right,5,3
César Azpilicueta Tanco,Right,5,3
John Michael Nchekwube Obinna,Right,5,3
Leon Britton,Right,5,3
James Tomkins,Right,5,2
Gary Hooper,Right,5,2
Yoan Gouffran,Right,5,3
Rhu-endly Martina,Right,5,3
Youssouf Chafiq Mulumbu Ngangu,Right,5,4
Phil Bardsley,Right,5,3
Jordy Clasie,Right,5,4
Per Mertesacker,Right,5,3
Modibo Maïga,Left,5,3
José Holebas,Left,5,2
Juan Guillermo Cuadrado Bello,Right,5,3
Matt Targett,Left,5,2
Steven Caulker,Right,5,2
Alessandro Diamanti,Left,5,2
Serge Gnabry,Right,5,3
Sandro Ranieri Guimarães Cordeiro,Right,5,3
Jan Kirchhoff,Right,5,3
Lamine Koné,Right,5,2
Leroy Fer,Right,5,4
Daniel Nii Tackie Mensah Welbeck,Right,5,3
Marc Muniesa Martínez,Left,5,3
Nordin Amrabat,Right,5,2
Alex Iwobi,Right,5,3
Muhamed Bešić,Right,5,3
Libor Kozák,Right,5,3
Aly Cissokho,Left,5,2
Charlie Austin,Right,5,2
Gilbert Gianelli Imbula Wanga,Left,5,3
Peter Crouch,Right,5,3
Kevin Linford Stewart,Right,5,3
Alberto Paloschi,Right,5,4
Marvin Emnes,Right,5,3
Matthew Pennington,Right,5,2
Leon Osman,Right,5,3
Sullay Kaikai,Right,5,3
Emmanuel Rivière,Right,5,3
Seydou Doumbia,Right,5,3
Jordi Amat Maas,Right,5,3
Juan Manuel Iturbe Arévalo,Left,5,3
Timm Klose,Right,5,3
Osazemwinde Peter Odemwingie,Right,5,4
Bryan Oviedo,Left,5,3
Demarai Gray,Right,5,2
Abdul Rahman Baba,Left,5,3
Alexandre Rodrigues da Silva,Right,5,3
Kevin Wimmer,Left,5,3
Marcus Rashford,Right,5,3
Timothy Evans Fosu-Mensah,Right,5,4
Gaël Clichy,Left,5,4
Emmanuel Emenike,Right,5,4
Valon Behrami,Right,5,4
Tom Davies,Right,5,3
Jonjoe Kenny,Right,5,3
Daniel Amartey,Right,5,4
Steven Pienaar,Right,5,4
Joe Ledley,Left,5,2
Steven Taylor,Right,5,3
Reece Oxford,Right,5,3
Darren Randolph,Right,5,3
Jordan Lyden,Right,5,2
Tommy Elphick,Right,5,3
Connor Steven Randall,Right,5,4
Stephen Kingsley,Left,5,3
Andre Green,Right,5,3
Tammy Bakumo-Abraham,Right,5,3
Bradley Shaun Smith,Left,5,3
Rolando Aarons,Left,5,3
Cameron Borthwick-Jackson,Left,5,3
Cheik Ismaël Tioté,Right,5,3
Alex Pritchard,Right,5,4
Tokelo Anthony Rantie,Right,5,3
Hiram Boateng,Left,5,3
Łukasz Fabiański,Right,5,2
Matt Grimes,Left,5,5
Mathieu Debuchy,Right,5,3
