shot_aerial_won,shot_first_time,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,distance,angle,shooting,body_part_rating
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.38223585808399607,0.10937006191739101,0.8353221957040573,1.0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.33137096792250137,0.10802837690417173,0.9188544152744629,0.797160243407708
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.21393003318953657,0.13833824780763082,0.8758949880668256,0.5943204868154158
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25725585646186483,0.147300152134005,0.9140811455847255,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15170119055167497,0.25116673887225416,0.9140811455847255,0.15618661257606492
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.20207005590495836,0.18973680462249867,0.9188544152744629,0.797160243407708
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4839128907109861,0.0845234144193348,0.8066825775656323,
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25000964404148895,0.12303370898566582,0.5918854415274462,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.35493263024841293,0.1011492796626682,0.809069212410501,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15971529834307172,0.21687910993390083,0.9045346062052504,0.15010141987829617
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.24768163472196092,0.15319250687353891,0.928400954653938,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.4094388746796655,0.07594467001731818,0.9045346062052504,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15408956479756838,0.25029506347917413,0.7947494033412885,0.1257606490872211
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.36913229601206526,0.11323464265921561,0.809069212410501,1.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.4429220387659044,0.09314479392693592,0.9045346062052504,1.0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.09410322021158064,0.37105095907505037,0.928400954653938,0.16024340770791076
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.35389186178596577,0.11261549026709841,0.9045346062052504,0.5943204868154158
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3434608618097069,0.10908335723573125,0.9045346062052504,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.32978137484439257,0.10463818844807828,0.9140811455847255,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.10927473868774126,0.32347121017718977,0.3556085918854415,0.15618661257606492
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15600413540671726,0.14359810243674007,0.9140811455847255,0.11764705882352942
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0.09283091730812044,0.35453593432637687,0.3556085918854415,1.0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.16369079109819734,0.1639904312683546,0.809069212410501,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.37046335733884156,0.09195877686406528,0.35083532219570407,0.797160243407708
